price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,N,7.0,4.0,236,4.0,3.5,4.0,1,Ullastrell,Certificate of Excellence 2016,Steakhouse,Mid-range
€€-€€€,N,N,6.0,3.0,108,3.5,3.0,3.5,4,Sant Vicenc de Montalt,,Seafood,Mid-range
€€-€€€,N,Y,6.0,4.5,206,4.5,4.5,4.0,8,Sant Vicenc de Montalt,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,N,N,,3.0,122,3.5,3.0,,1,Sant Vicenc de Montalt,,Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.0,265,4.0,4.5,4.5,4,Bigues i Riells,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",Mediterranean,Mid-range
€€-€€€,N,Y,6.0,4.0,180,4.0,4.0,4.0,4,Sant Julia De Vilatorta,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,Y,Y,,4.5,294,4.5,4.5,4.0,9,Rupit,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",Mediterranean,Mid-range
€€-€€€,Y,N,,4.0,146,4.0,4.5,4.5,12,Rupit,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,N,Y,4.0,3.5,240,4.5,4.0,3.5,4,Rupit,Certificate of Excellence 2015,Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.5,338,4.5,4.5,4.0,15,Rupit,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",Mediterranean,Mid-range
€,N,N,7.0,4.0,146,4.5,4.0,,10,Rupit,"Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",Cafe,Cheap Eats
€€-€€€,N,N,,4.0,131,4.0,4.0,,7,Rupit,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.5,206,4.5,4.5,,5,Mollet del Valles,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€€-€€€,N,Y,6.0,4.0,120,4.0,3.0,,1,Mollet del Valles,,Mediterranean,Mid-range
€€-€€€,Y,Y,5.0,4.5,185,5.0,4.5,,146,Mollet del Valles,"Travellers' Choice, Certificate of Excellence 2020",Mediterranean,Mid-range
€€-€€€,N,N,7.0,4.0,104,4.0,4.5,4.5,1,Mollet del Valles,"Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,Y,Y,7.0,4.0,491,4.0,4.0,4.0,6,Mollet del Valles,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.0,198,4.0,3.5,3.5,1,Mollet del Valles,,Mediterranean,Mid-range
€€-€€€,N,N,6.0,3.5,119,4.0,4.0,3.5,0,Mollet del Valles,,Spanish,Mid-range
€€-€€€,N,Y,6.0,4.0,219,4.5,4.0,4.0,2,Mollet del Valles,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",Spanish,Mid-range
€€-€€€,N,N,7.0,3.0,175,3.0,3.5,,0,Mollet del Valles,,Mediterranean,Mid-range
€€-€€€,N,N,6.0,4.5,259,4.5,4.5,4.0,3,Mollet del Valles,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015",Mexican,Mid-range
€,N,N,6.0,4.5,125,4.0,4.0,3.5,3,Mollet del Valles,"Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",Fast food,Cheap Eats
€€-€€€,Y,Y,7.0,4.0,214,4.0,4.0,4.0,3,Mollet del Valles,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,N,Y,6.0,4.0,299,4.0,4.5,4.5,1,Mollet del Valles,"Certificate of Excellence 2017, Certificate of Excellence 2016",Mediterranean,Mid-range
€€-€€€,N,Y,7.0,4.0,332,4.0,3.5,3.5,1,Mollet del Valles,"Certificate of Excellence 2017, Certificate of Excellence 2016",Steakhouse,Mid-range
€€-€€€,Y,Y,7.0,4.0,191,4.0,4.0,,1,Mollet del Valles,Certificate of Excellence 2017,Mediterranean,Mid-range
€€-€€€,N,N,,4.0,142,4.0,3.5,3.5,0,Montcada i Reixac,,Mediterranean,Mid-range
