restaurant_name,price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,last_certificate_excellence,cuisine_nation,meals
Taiet d'Ullastrell,€€-€€€,Y,N,7.0,4.0,236,4.0,3.5,4.0,1,Ullastrell,Certificate of Excellence 2016,Spanish,
La Caleta,€€-€€€,N,N,6.0,3.0,108,3.5,3.0,3.5,4,Sant Vicenc de Montalt,,Spanish,Lunch
El Jardí del Vellard,€€-€€€,N,Y,6.0,4.5,206,4.5,4.5,4.0,8,Sant Vicenc de Montalt,Certificate of Excellence 2020,Spanish,
Ohnades El Chiri de Santvi,€€-€€€,N,N,,3.0,122,3.5,3.0,,1,Sant Vicenc de Montalt,,Spanish,"Dinner, Lunch"
Can Traver Restaurant,€€-€€€,Y,Y,6.0,4.0,265,4.0,4.5,4.5,4,Bigues i Riells,Certificate of Excellence 2020,Spanish,
Ca la Manyana,€€-€€€,N,Y,6.0,4.0,180,4.0,4.0,4.0,4,Sant Julia De Vilatorta,Certificate of Excellence 2019,Spanish,"Dinner, Lunch"
Fonda Marsal,€€-€€€,Y,Y,,4.5,294,4.5,4.5,4.0,9,Rupit,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
Ca l'Estragues's,€€-€€€,Y,N,,4.0,146,4.0,4.5,4.5,12,Rupit,Certificate of Excellence 2018,Spanish,"Dinner, Lunch"
Can Sallent,€€-€€€,N,Y,4.0,3.5,240,4.5,4.0,3.5,4,Rupit,Certificate of Excellence 2015,Spanish,"Breakfast, Lunch"
Hostal Estrella,€€-€€€,Y,Y,6.0,4.5,338,4.5,4.5,4.0,15,Rupit,,Spanish,
Forn de Pa l'Era,€,N,N,7.0,4.0,146,4.5,4.0,,10,Rupit,Certificate of Excellence 2019,,Breakfast
Restaurant Albert,€€-€€€,N,N,,4.0,131,4.0,4.0,,7,Rupit,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Codigo 14 Gastrobar,€€-€€€,Y,Y,6.0,4.5,206,4.5,4.5,,5,Mollet del Valles,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Socarrat,€€-€€€,N,Y,6.0,4.0,120,4.0,3.0,,1,Mollet del Valles,,Spanish,"Dinner, Lunch"
Kaliurestaurant,€€-€€€,Y,Y,5.0,4.5,185,5.0,4.5,,146,Mollet del Valles,Certificate of Excellence 2020,Spanish,
Saint Germain Des Pres,€€-€€€,N,N,7.0,4.0,104,4.0,4.5,4.5,1,Mollet del Valles,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Pitapes,€€-€€€,Y,Y,7.0,4.0,491,4.0,4.0,4.0,6,Mollet del Valles,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
El Vell Nou,€€-€€€,Y,Y,6.0,4.0,198,4.0,3.5,3.5,1,Mollet del Valles,,,"Dinner, Lunch"
Les Pruneres,€€-€€€,N,N,6.0,3.5,119,4.0,4.0,3.5,0,Mollet del Valles,,Spanish,"Dinner, Lunch"
Restaurante La Marieta,€€-€€€,N,Y,6.0,4.0,219,4.5,4.0,4.0,2,Mollet del Valles,Certificate of Excellence 2020,Spanish,
Can Prat,€€-€€€,N,N,7.0,3.0,175,3.0,3.5,,0,Mollet del Valles,,Spanish,"Breakfast, Dinner, Lunch"
Groc cafe,€€-€€€,N,N,6.0,4.5,259,4.5,4.5,4.0,3,Mollet del Valles,Certificate of Excellence 2020,Mexican,"Dinner, Lunch"
Frankfurt Tino,€,N,N,6.0,4.5,125,4.0,4.0,3.5,3,Mollet del Valles,Certificate of Excellence 2017,Spanish,"Breakfast, Dinner, Lunch"
La Llar d'en Tariel,€€-€€€,Y,Y,7.0,4.0,214,4.0,4.0,4.0,3,Mollet del Valles,Certificate of Excellence 2018,Spanish,
Casa Gerardo,€€-€€€,N,Y,6.0,4.0,299,4.0,4.5,4.5,1,Mollet del Valles,Certificate of Excellence 2017,Spanish,
El Tiro De Mollet,€€-€€€,N,Y,7.0,4.0,332,4.0,3.5,3.5,1,Mollet del Valles,Certificate of Excellence 2017,Spanish,"Breakfast, Dinner, Lunch"
Neoris,€€-€€€,Y,Y,7.0,4.0,191,4.0,4.0,,1,Mollet del Valles,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
Masia Font del Tort,€€-€€€,N,N,,4.0,142,4.0,3.5,3.5,0,Montcada i Reixac,,Spanish,"Dinner, Lunch"
Casa Juanita,€€-€€€,Y,N,7.0,3.5,133,4.0,3.5,4.0,1,Montcada i Reixac,,Spanish,"Breakfast, Dinner, Lunch"
El Manantial de la Cerve,€,N,N,7.0,3.5,127,3.5,3.0,3.0,21,Montcada i Reixac,,Spanish,"Dinner, Lunch"
El Mirador de Can Toy,€€-€€€,N,N,,4.0,102,4.0,4.0,,39,Montcada i Reixac,Certificate of Excellence 2020,Spanish,"Dinner, Lunch"
Gretta Restaurant,€€-€€€,Y,Y,6.0,4.5,161,4.5,4.5,,5,Berga,Certificate of Excellence 2020,Spanish,
L'Estany clar,€€€€,Y,Y,6.0,4.5,202,4.5,4.5,4.5,9,Berga,,Spanish,"Dinner, Lunch"
Restaurant La Cabana BERGA,€€-€€€,Y,Y,6.0,4.0,562,4.5,4.5,4.5,26,Berga,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
La Notta,€€-€€€,Y,Y,4.0,4.5,143,4.0,4.0,,3,Berga,Certificate of Excellence 2020,Italian,
Uummm...!!!,€€-€€€,N,N,3.0,4.5,123,4.5,4.5,4.5,14,Berga,Certificate of Excellence 2019,Spanish,
Restaurant Sant Marc,€€-€€€,N,N,6.0,4.0,110,4.5,4.0,,1,Berga,Certificate of Excellence 2020,,
El Rincon Gallego,€€-€€€,N,N,,3.5,128,3.5,3.5,,0,Berga,Certificate of Excellence 2017,Spanish,"Dinner, Lunch"
"Bar Santa Eulàlia - ""Bar del Pepe""",€,Y,Y,7.0,4.5,108,4.5,4.5,,5,Berga,Certificate of Excellence 2020,,
Cal Travé,€€-€€€,Y,Y,6.0,4.5,164,4.5,4.5,,11,Berga,Certificate of Excellence 2020,Spanish,
Can Marc,€€-€€€,Y,Y,6.0,4.5,226,4.0,4.0,4.0,9,Sant Esteve de Palautordera,Certificate of Excellence 2020,Spanish,"Breakfast, Dinner, Lunch"
Ramen House Manresa,€€-€€€,Y,Y,6.0,3.5,119,4.0,3.0,,1,Manresa,,Japanese,
