restaurant_name,original_location,awards,top_tags,price_level,cuisines,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,excellent,food,service,atmosphere
Taiet d'Ullastrell,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Ullastrell""]",Certificate of Excellence 2016,"Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,"Steakhouse, Mediterranean, Barbecue, Spanish",Y,N,7.0,4.0,236,1,4.0,3.5,4.0
La Caleta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]",,"Mid-range, Seafood, Mediterranean, Spanish",€€-€€€,"Seafood, Mediterranean, Spanish",N,N,6.0,3.0,108,4,3.5,3.0,3.5
El Jardí del Vellard,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,Y,6.0,4.5,206,8,4.5,4.5,4.0
Ohnades El Chiri de Santvi,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish",N,N,,3.0,122,1,3.5,3.0,
Can Traver Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bigues i Riells""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,6.0,4.0,265,4,4.0,4.5,4.5
Ca la Manyana,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Julia De Vilatorta""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,Y,6.0,4.0,180,4,4.0,4.0,4.0
Fonda Marsal,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,,4.5,294,9,4.5,4.5,4.0
Ca l'Estragues's,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]","Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,N,,4.0,146,12,4.0,4.5,4.5
Can Sallent,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Certificate of Excellence 2015,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,Y,4.0,3.5,240,4,4.5,4.0,3.5
Hostal Estrella,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]","Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.5,338,15,4.5,4.5,4.0
