"price_level";"vegan_options";"awards";"gluten_free";"cuisines";"original_location";"open_days_per_week";"avg_rating";"total_reviews_count";"food";"service";"atmosphere";"excellent";"meals"
"€€-€€€";"Y";"Certificate of Excellence 2016";"N";"Steakhouse, Mediterranean, Barbecue, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Ullastrell\"]";7;4;236;4;3.5;4;1;""
"€€-€€€";"N";"Not Awarded";"N";"Seafood, Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Sant Vicenc de Montalt\"]";6;3;108;3.5;3;3.5;4;"Lunch"
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Sant Vicenc de Montalt\"]";6;4.5;206;4.5;4.5;4;8;""
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Sant Vicenc de Montalt\"]";NA;3;122;3.5;3;3.5;1;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Bigues i Riells\"]";6;4;265;4;4.5;4.5;4;""
"€€-€€€";"N";"Certificate of Excellence 2019";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Sant Julia De Vilatorta\"]";6;4;180;4;4;4;4;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";NA;4.5;294;4.5;4.5;4;9;"Breakfast, Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2018";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";NA;4;146;4;4.5;4.5;12;"Lunch, Dinner"
"€€-€€€";"N";"Certificate of Excellence 2015";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";4;3.5;240;4.5;4;3.5;4;"Breakfast, Lunch"
"€€-€€€";"Y";"Not Awarded";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";6;4.5;338;4.5;4.5;4;15;""
"€";"N";"Certificate of Excellence 2019";"N";"Cafe";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";7;4;146;4.5;4;4;10;"Breakfast, Brunch"
"€€-€€€";"N";"Certificate of Excellence 2020";"N";"Mediterranean, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Rupit\"]";NA;4;131;4;4;4;7;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Contemporary, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4.5;206;4.5;4.5;4;5;"Lunch, Dinner, Drinks"
"€€-€€€";"N";"Not Awarded";"Y";"Mediterranean, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4;120;4;3;3.5;1;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";5;4.5;185;5;4.5;4.5;146;""
"€€-€€€";"N";"Certificate of Excellence 2017";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;4;104;4;4.5;4.5;1;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;4;491;4;4;4;6;"Lunch, Dinner, After-hours"
"€€-€€€";"Y";"Not Awarded";"Y";"Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4;198;4;3.5;3.5;1;"Lunch, Dinner"
"€€-€€€";"N";"Not Awarded";"N";"Spanish, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;3.5;119;4;4;3.5;0;"Lunch, Dinner, After-hours"
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4;219;4.5;4;4;2;""
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, Spanish, Contemporary";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;3;175;3;3.5;3.5;0;"Breakfast, Lunch, Dinner"
"€€-€€€";"N";"Certificate of Excellence 2020";"N";"Mexican, Latin, Spanish, South American, Central American";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4.5;259;4.5;4.5;4;3;"Lunch, Dinner, After-hours"
"€";"N";"Certificate of Excellence 2017";"N";"Fast food, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4.5;125;4;4;3.5;3;"Breakfast, Lunch, Dinner, After-hours, Drinks"
"€€-€€€";"Y";"Certificate of Excellence 2018";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;4;214;4;4;4;3;""
"€€-€€€";"N";"Certificate of Excellence 2017";"Y";"Mediterranean, Spanish, Healthy, Cafe";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";6;4;299;4;4.5;4.5;1;""
"€€-€€€";"N";"Certificate of Excellence 2017";"Y";"Steakhouse, Mediterranean, Barbecue, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;4;332;4;3.5;3.5;1;"Breakfast, Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2017";"Y";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Mollet del Valles\"]";7;4;191;4;4;4;1;"Lunch, Dinner"
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Montcada i Reixac\"]";NA;4;142;4;3.5;3.5;0;"Lunch, Dinner"
"€€-€€€";"Y";"Not Awarded";"N";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Montcada i Reixac\"]";7;3.5;133;4;3.5;4;1;"Lunch, Dinner, Breakfast"
"€";"N";"Not Awarded";"N";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Montcada i Reixac\"]";7;3.5;127;3.5;3;3;21;"Lunch, Dinner, After-hours, Drinks"
"€€-€€€";"N";"Certificate of Excellence 2020";"N";"Seafood, Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Montcada i Reixac\"]";NA;4;102;4;4;4;39;"Lunch, Dinner"
