restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g10052043-d3981552,Taiet d'Ullastrell,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Ullastrell""]",Spain,Catalonia,Province of Barcelona,,"Carrer Serra 43 Serra Street, 43, 08231 Ullastrell Spain",41.526646,1.955678,Claimed,Certificate of Excellence 2016,#1 of 3 Restaurants in Ullastrell,#1 of 5 places to eat in Ullastrell,"Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,€11-€29,,"Steakhouse, Mediterranean, Barbecue, Spanish","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""09:00-00:00""], ""Tue"": [""09:00-00:00""], ""Wed"": [""09:00-00:00""], ""Thu"": [""09:00-00:00""], ""Fri"": [""09:00-00:00""], ""Sat"": [""09:00-00:00""], ""Sun"": [""09:00-00:00""]}",7,105,7,4,236,English,5,1,3,1,0,0,4,3.5,3.5,4,
g1026844-d2471262,La Caleta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]",Spain,Catalonia,Province of Barcelona,,"Passaje Marques de Casa Rira, 45, 08392 Sant Vicenc de Montalt Spain",41.560913,2.510042,Claimed,,#16 of 17 Restaurants in Sant Vicenc de Montalt,#16 of 20 places to eat in Sant Vicenc de Montalt,"Mid-range, Seafood, Mediterranean, Spanish",€€-€€€,,Lunch,"Seafood, Mediterranean, Spanish",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""10:00-16:00""], ""Tue"": [], ""Wed"": [""10:00-16:00""], ""Thu"": [""10:00-16:00""], ""Fri"": [""10:00-16:00""], ""Sat"": [""10:00-16:00""], ""Sun"": [""10:00-16:00""]}",6,36,6,3,108,English,8,4,3,1,0,0,3.5,3,3,3.5,
g1026844-d3435936,El Jardí del Vellard,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]",Spain,Catalonia,Province of Barcelona,,"Riera de torrentbó N 1, 08393 Sant Vicenc de Montalt Spain",41.569855,2.527142,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 17 Restaurants in Sant Vicenc de Montalt,#1 of 20 places to eat in Sant Vicenc de Montalt,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€14-€35,,"Mediterranean, Spanish, European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [""13:15-15:30""], ""Wed"": [""13:15-15:30""], ""Thu"": [""13:15-15:30"", ""20:30-23:00""], ""Fri"": [""13:15-15:30"", ""20:30-23:00""], ""Sat"": [""13:15-15:30"", ""20:30-23:00""], ""Sun"": [""13:15-15:30""]}",6,21,9,4.5,206,English,12,8,3,0,0,1,4.5,4.5,4.5,4,"fish, cooked to perfection, signature, chef, area"
g1026844-d6947191,Ohnades El Chiri de Santvi,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Vicenc de Montalt""]",Spain,Catalonia,Province of Barcelona,,"Davant Del #8 Passeig Marques Casa Riera, 08394 Sant Vicenc de Montalt Spain",41.565002,2.519875,Unclaimed,,#17 of 17 Restaurants in Sant Vicenc de Montalt,#17 of 20 places to eat in Sant Vicenc de Montalt,"Mid-range, Mediterranean, Spanish",€€-€€€,,"Lunch, Dinner","Mediterranean, Spanish",,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",N,N,N,,,,,3,122,English,4,1,2,0,0,1,3.5,3,2.5,,
g1026885-d4088146,Can Traver Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bigues i Riells""]",Spain,Catalonia,Province of Barcelona,,"C/ Cami de Can Ribas, s/n, 08415 Bigues i Riells Spain",41.67167,2.205512,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#1 of 7 Restaurants in Bigues i Riells,#1 of 7 places to eat in Bigues i Riells,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,€13-€40,,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-18:00"", ""20:30-23:30""], ""Sat"": [""09:00-18:00"", ""20:30-23:30""], ""Sun"": [""09:00-18:00""]}",6,60,8,4,265,English,9,4,4,1,0,0,4,4.5,4,4.5,
g1028214-d2297668,Ca la Manyana,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Julia De Vilatorta""]",Spain,Catalonia,Province of Barcelona,,"Av. Verge de Montserrat 38, 08504 Sant Julia De Vilatorta Spain",41.92206,2.323517,Unclaimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 8 Restaurants in Sant Julia De Vilatorta,#1 of 9 places to eat in Sant Julia De Vilatorta,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [""13:00-16:00"", ""20:00-23:00""], ""Wed"": [""13:00-16:00"", ""20:00-23:00""], ""Thu"": [""13:00-16:00"", ""20:00-23:00""], ""Fri"": [""13:00-16:00"", ""20:00-23:00""], ""Sat"": [""13:00-16:00"", ""20:00-23:00""], ""Sun"": [""13:00-16:00""]}",6,33,11,4,180,English,5,4,1,0,0,0,4,4,4,4,
g1047912-d2520628,Fonda Marsal,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"C/. Manya, 3, 08569 Rupit Spain",42.024445,2.464675,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#2 of 10 Restaurants in Rupit,#2 of 12 places to eat in Rupit,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Breakfast, Lunch, Dinner","Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,,,,,4.5,294,English,11,9,0,1,1,0,4.5,4.5,4.5,4,
g1047912-d2634864,Ca l'Estragues's,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"C. de l'Esglesia #4, Rupit Spain",42.023956,2.464786,Unclaimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#4 of 10 Restaurants in Rupit,#5 of 12 places to eat in Rupit,"Mid-range, Mediterranean, European, Spanish",€€-€€€,,"Lunch, Dinner","Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options",,Y,Y,N,,,,,4,146,English,20,12,7,0,1,0,4,4.5,4,4.5,
g1047912-d4088306,Can Sallent,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"Plaza Major, 3, 08569 Rupit Spain",42.02382,2.464722,Unclaimed,Certificate of Excellence 2015,#8 of 10 Restaurants in Rupit,#9 of 12 places to eat in Rupit,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,,"Breakfast, Lunch","Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [""09:30-17:00""], ""Wed"": [""09:30-17:00""], ""Thu"": [], ""Fri"": [], ""Sat"": [""09:30-17:00""], ""Sun"": [""09:30-17:00""]}",4,30,4,3.5,240,English,10,4,0,4,0,2,4.5,4,4,3.5,
g1047912-d4453623,Hostal Estrella,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]",Spain,Catalonia,Province of Barcelona,,"Plaza Bisbe Font, 1, Rupit Spain",42.024105,2.464958,Claimed,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",#1 of 10 Restaurants in Rupit,#1 of 12 places to eat in Rupit,"Mid-range, Mediterranean, European, Spanish",€€-€€€,€18-€70,,"Mediterranean, European, Spanish, Catalan","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""13:00-15:30""], ""Tue"": [], ""Wed"": [""13:00-15:30""], ""Thu"": [""13:00-15:30"", ""20:00-22:00""], ""Fri"": [""13:00-15:30"", ""20:00-22:00""], ""Sat"": [""13:00-15:30"", ""20:00-22:00""], ""Sun"": [""13:00-15:30""]}",6,21,9,4.5,338,English,20,15,4,0,0,1,4.5,4.5,4,4,
